budget,genres,id,production_countries,release_date,revenue,runtime,title,vote_average,vote_count,Country - Afghanistan,Country - Algeria,Country - Angola,Country - Argentina,Country - Aruba,Country - Australia,Country - Austria,Country - Belgium,Country - Bhutan,Country - Bolivia,Country - Bosnia and Herzegovina,Country - Brazil,Country - Bulgaria,Country - Cambodia,Country - Cameroon,Country - Canada,Country - Chile,Country - China,Country - Colombia,Country - Cyprus,Country - Czech Republic,Country - Denmark,Country - Dominica,Country - Dominican Republic,Country - Ecuador,Country - Egypt,Country - Fiji,Country - Finland,Country - France,Country - Germany,Country - Greece,Country - Guadaloupe,Country - Guyana,Country - Hong Kong,Country - Hungary,Country - Iceland,Country - India,Country - Indonesia,Country - Iran,Country - Ireland,Country - Israel,Country - Italy,Country - Jamaica,Country - Japan,Country - Jordan,Country - Kazakhstan,Country - Kenya,Country - Kyrgyz Republic,Country - Lebanon,Country - Libyan Arab Jamahiriya,Country - Lithuania,Country - Luxembourg,Country - Malaysia,Country - Malta,Country - Mexico,Country - Monaco,Country - Morocco,Country - Netherlands,Country - New Zealand,Country - Nigeria,Country - Norway,Country - Pakistan,Country - Panama,Country - Peru,Country - Philippines,Country - Poland,Country - Portugal,Country - Romania,Country - Russia,Country - Singapore,Country - Slovakia,Country - Slovenia,Country - South Africa,Country - South Korea,Country - Spain,Country - Sweden,Country - Switzerland,Country - Taiwan,Country - Thailand,Country - Tunisia,Country - Turkey,Country - Ukraine,Country - United Arab Emirates,Country - United Kingdom,Country - United States of America,Country - Serbia and Montenegro,Country - Serbia,Genre - Action,Genre - Crime,Genre - Fantasy,Genre - Adventure,Genre - Family,Genre - Drama,Genre - Science Fiction,Genre - Thriller,Genre - Comedy,Genre - Animation,Genre - Romance,Genre - Western,Genre - Horror,Genre - History,Genre - War,Genre - Mystery,Genre - Music,Genre - TV Movie,Genre - Foreign,Genre - Documentary
237000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",19995,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",40157,2787965087,162,Avatar,7.2,11800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,fantasy,adventure,,,science,,,,,,,,,,,,,
300000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",285,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",39221,961000000,169,Pirates of the Caribbean: At World's End,6.9,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,United States of America,,,action,,fantasy,adventure,,,,,,,,,,,,,,,,
245000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",206647,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",42303,880674609,148,Spectre,6.3,4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,crime,,adventure,,,,,,,,,,,,,,,,
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",49026,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",41106,1084939099,165,The Dark Knight Rises,7.6,9106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,crime,,,,drama,,thriller,,,,,,,,,,,,
260000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",49529,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",40975,284139100,132,John Carter,6.1,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,,adventure,,,science,,,,,,,,,,,,,
258000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",559,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",39203,890871626,139,Spider-Man 3,5.9,3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,fantasy,adventure,,,,,,,,,,,,,,,,
260000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",38757,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",40506,591794936,100,Tangled,7.4,3330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,,,family,,,,,animation,,,,,,,,,,
280000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",99861,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",42116,1405403694,141,Avengers: Age of Ultron,7.3,6767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom,United States of America,,,action,,,adventure,,,science,,,,,,,,,,,,,
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",767,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",40001,933959197,153,Harry Potter and the Half-Blood Prince,7.4,5293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,fantasy,adventure,family,,,,,,,,,,,,,,,
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",209112,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",42452,873260194,151,Batman v Superman: Dawn of Justice,5.7,7004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,action,,fantasy,adventure,,,,,,,,,,,,,,,,
