Country,Count
Afghanistan,1
Algeria,1
Angola,1
Argentina,9
Aruba,1
Australia,110
Austria,6
Belgium,25
Bhutan,1
Bolivia,1
Bosnia and Herzegovina,1
Brazil,13
Bulgaria,4
Cambodia,1
Cameroon,1
Canada,261
Chile,2
China,59
Colombia,2
Cyprus,1
Czech Republic,24
Denmark,20
Dominica,2
Dominican Republic,1
Ecuador,1
Egypt,1
Fiji,1
Finland,5
France,306
Germany,324
Greece,3
Guadaloupe,1
Guyana,1
Hong Kong,48
Hungary,13
Iceland,6
India,54
Indonesia,1
Iran,4
Ireland,37
Israel,6
Italy,72
Jamaica,2
Japan,58
Jordan,1
Kazakhstan,2
Kenya,1
Kyrgyz Republic,1
Lebanon,1
Libyan Arab Jamahiriya,1
Lithuania,1
Luxembourg,11
Malaysia,2
Malta,4
Mexico,30
Monaco,1
Morocco,4
Netherlands,18
New Zealand,28
Nigeria,1
Norway,14
Pakistan,3
Panama,1
Peru,2
Philippines,1
Poland,6
Portugal,1
Romania,12
Russia,19
Singapore,2
Slovakia,2
Slovenia,2
South Africa,20
South Korea,18
Spain,71
Sweden,19
Switzerland,19
Taiwan,5
Thailand,6
Tunisia,1
Turkey,1
Ukraine,1
United Arab Emirates,14
United Kingdom,636
United States of America,3956
Serbia and Montenegro,1
Serbia,2
