id,Attribute,Year
19995,Action,2009
19995,Fantasy,2009
19995,Adventure,2009
19995,Science Fiction,2009
285,Action,2007
285,Fantasy,2007
285,Adventure,2007
206647,Action,2015
206647,Crime,2015
206647,Adventure,2015
49026,Action,2012
49026,Crime,2012
49026,Drama,2012
49026,Thriller,2012
49529,Action,2012
49529,Adventure,2012
49529,Science Fiction,2012
559,Action,2007
559,Fantasy,2007
559,Adventure,2007
38757,Family,2010
38757,Animation,2010
99861,Action,2015
99861,Adventure,2015
99861,Science Fiction,2015
767,Fantasy,2009
767,Adventure,2009
767,Family,2009
209112,Action,2016
209112,Fantasy,2016
209112,Adventure,2016
1452,Action,2006
1452,Fantasy,2006
1452,Adventure,2006
1452,Science Fiction,2006
10764,Action,2008
10764,Crime,2008
10764,Adventure,2008
10764,Thriller,2008
58,Action,2006
58,Fantasy,2006
58,Adventure,2006
57201,Action,2013
57201,Adventure,2013
57201,Western,2013
49521,Action,2013
49521,Fantasy,2013
49521,Adventure,2013
49521,Science Fiction,2013
2454,Fantasy,2008
2454,Adventure,2008
2454,Family,2008
24428,Action,2012
24428,Adventure,2012
24428,Science Fiction,2012
1865,Action,2011
1865,Fantasy,2011
1865,Adventure,2011
41154,Action,2012
41154,Science Fiction,2012
41154,Comedy,2012
122917,Action,2014
122917,Fantasy,2014
122917,Adventure,2014
1930,Action,2012
1930,Fantasy,2012
1930,Adventure,2012
20662,Action,2010
20662,Adventure,2010
57158,Fantasy,2013
57158,Adventure,2013
2268,Fantasy,2007
2268,Adventure,2007
254,Action,2005
254,Adventure,2005
254,Drama,2005
597,Drama,1997
597,Thriller,1997
597,Romance,1997
271110,Action,2016
271110,Adventure,2016
271110,Science Fiction,2016
44833,Action,2012
44833,Adventure,2012
44833,Science Fiction,2012
44833,Thriller,2012
135397,Action,2015
135397,Adventure,2015
135397,Science Fiction,2015
135397,Thriller,2015
37724,Action,2012
37724,Adventure,2012
37724,Thriller,2012
558,Action,2004
558,Fantasy,2004
558,Adventure,2004
68721,Action,2013
68721,Adventure,2013
68721,Science Fiction,2013
12155,Fantasy,2010
12155,Adventure,2010
12155,Family,2010
36668,Action,2006
36668,Adventure,2006
36668,Science Fiction,2006
36668,Thriller,2006
62211,Family,2013
62211,Animation,2013
8373,Action,2009
8373,Adventure,2009
8373,Science Fiction,2009
91314,Action,2014
91314,Adventure,2014
91314,Science Fiction,2014
68728,Fantasy,2013
68728,Adventure,2013
68728,Family,2013
102382,Action,2014
102382,Fantasy,2014
102382,Adventure,2014
20526,Action,2010
20526,Adventure,2010
20526,Science Fiction,2010
49013,Adventure,2011
49013,Family,2011
49013,Comedy,2011
49013,Animation,2011
44912,Action,2011
44912,Adventure,2011
44912,Science Fiction,2011
44912,Thriller,2011
10193,Family,2010
10193,Comedy,2010
10193,Animation,2010
534,Action,2009
534,Science Fiction,2009
534,Thriller,2009
168259,Action,2015
72190,Action,2013
72190,Drama,2013
72190,Science Fiction,2013
72190,Thriller,2013
72190,Horror,2013
127585,Action,2014
127585,Fantasy,2014
127585,Adventure,2014
127585,Science Fiction,2014
54138,Action,2013
54138,Adventure,2013
54138,Science Fiction,2013
81005,Action,2013
81005,Fantasy,2013
81005,Family,2013
64682,Drama,2013
64682,Romance,2013
9543,Action,2010
