budget,genres,id,production_countries,release_date,revenue,runtime,title,vote_average,vote_count,main_genre
237000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",19995,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",12/10/09,2787965087,162,Avatar,7.2,11800,Action
300000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",285,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/19/07,961000000,169,Pirates of the Caribbean: At World's End,6.9,4500,Adventure
245000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",206647,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/26/15,880674609,148,Spectre,6.3,4466,Action
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",49026,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/16/12,1084939099,165,The Dark Knight Rises,7.6,9106,Action
260000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",49529,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/07/12,284139100,132,John Carter,6.1,2124,Action
258000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",559,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/01/07,890871626,139,Spider-Man 3,5.9,3576,Fantasy
260000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",38757,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/24/10,591794936,100,Tangled,7.4,3330,Animation
280000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",99861,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/22/15,1405403694,141,Avengers: Age of Ultron,7.3,6767,Action
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",767,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/07/09,933959197,153,Harry Potter and the Half-Blood Prince,7.4,5293,Adventure
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",209112,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/23/16,873260194,151,Batman v Superman: Dawn of Justice,5.7,7004,Action
270000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",1452,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/28/06,391081192,154,Superman Returns,5.4,1400,Adventure
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",10764,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/30/08,586090727,106,Quantum of Solace,6.1,2965,Adventure
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",58,"[{""iso_3166_1"": ""JM"", ""name"": ""Jamaica""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""BS"", ""name"": ""Bahamas""}, {""iso_3166_1"": ""DM"", ""name"": ""Dominica""}]",6/20/06,1065659812,151,Pirates of the Caribbean: Dead Man's Chest,7,5246,Adventure
255000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",57201,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/03/13,89289910,149,The Lone Ranger,5.9,2311,Action
225000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",49521,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/12/13,662845518,143,Man of Steel,6.5,6359,Action
225000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2454,"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""PL"", ""name"": ""Poland""}, {""iso_3166_1"": ""SI"", ""name"": ""Slovenia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/15/08,419651413,150,The Chronicles of Narnia: Prince Caspian,6.3,1630,Adventure
220000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",24428,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/25/12,1519557910,143,The Avengers,7.4,11776,Science Fiction
380000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",1865,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/14/11,1045713802,136,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Adventure
225000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",41154,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/23/12,624026776,106,Men in Black 3,6.2,4160,Action
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",122917,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/10/14,956019788,144,The Hobbit: The Battle of the Five Armies,7.1,4760,Action
215000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",1930,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/27/12,752215857,136,The Amazing Spider-Man,6.5,6586,Action
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",20662,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/12/10,310669540,140,Robin Hood,6.2,1398,Action
