title,id,genre,release_date,budget,revenue,vote_average
Avatar,19995,Action,2009,237000000,2787965087,7.2
Pirates of the Caribbean: At World's End,285,Adventure,2007,300000000,961000000,6.9
Spectre,206647,Action,2015,245000000,880674609,6.3
The Dark Knight Rises,49026,Action,2012,250000000,1084939099,7.6
John Carter,49529,Action,2012,260000000,284139100,6.1
Spider-Man 3,559,Fantasy,2007,258000000,890871626,5.9
Tangled,38757,Animation,2010,260000000,591794936,7.4
Avengers: Age of Ultron,99861,Action,2015,280000000,1405403694,7.3
Harry Potter and the Half-Blood Prince,767,Adventure,2009,250000000,933959197,7.4
Batman v Superman: Dawn of Justice,209112,Action,2016,250000000,873260194,5.7
Superman Returns,1452,Adventure,2006,270000000,391081192,5.4
Quantum of Solace,10764,Adventure,2008,200000000,586090727,6.1
Pirates of the Caribbean: Dead Man's Chest,58,Adventure,2006,200000000,1065659812,7.0
The Lone Ranger,57201,Action,2013,255000000,89289910,5.9
Man of Steel,49521,Action,2013,225000000,662845518,6.5
The Chronicles of Narnia: Prince Caspian,2454,Adventure,2008,225000000,419651413,6.3
The Avengers,24428,Science Fiction,2012,220000000,1519557910,7.4
Pirates of the Caribbean: On Stranger Tides,1865,Adventure,2011,380000000,1045713802,6.4
Men in Black 3,41154,Action,2012,225000000,624026776,6.2
The Hobbit: The Battle of the Five Armies,122917,Action,2014,250000000,956019788,7.1
The Amazing Spider-Man,1930,Action,2012,215000000,752215857,6.5
Robin Hood,20662,Action,2010,200000000,310669540,6.2
The Hobbit: The Desolation of Smaug,57158,Adventure,2013,250000000,958400000,7.6
The Golden Compass,2268,Adventure,2007,180000000,372234864,5.8
King Kong,254,Adventure,2005,207000000,550000000,6.6
Titanic,597,Drama,1997,200000000,1845034188,7.5
Captain America: Civil War,271110,Adventure,2016,250000000,1153304495,7.1
Battleship,44833,Thriller,2012,209000000,303025485,5.5
Jurassic World,135397,Action,2015,150000000,1513528810,6.5
Skyfall,37724,Action,2012,200000000,1108561013,6.9
Spider-Man 2,558,Action,2004,200000000,783766341,6.7
Iron Man 3,68721,Action,2013,200000000,1215439994,6.8
Alice in Wonderland,12155,Family,2010,200000000,1025491110,6.4
X-Men: The Last Stand,36668,Adventure,2006,210000000,459359555,6.3
Monsters University,62211,Animation,2013,200000000,743559607,7.0
Transformers: Revenge of the Fallen,8373,Science Fiction,2009,150000000,836297228,6.0
Transformers: Age of Extinction,91314,Science Fiction,2014,210000000,1091405097,5.8
